PRODUCT_CODE,ATC,duration_of_box
019888066,L01BA01,30
019888078,L01BA01,30
019888080,L01BA01,30
019888092,L01BA01,30
019888116,L01BA01,30
019888128,L01BA01,30
019888130,L01BA01,30
019888142,L01BA01,30
019889031,A04AD,.013
019889043,A04AD,.013
019906015,N06AA09,75
019906027,N06AA09,75
019906054,N06AA09,75
019911027,R05DB07,.6
019913019,C03DA01,75
019913021,C03DA01,75
019913033,C03DA01,75
019924012,J01FA01,1
019924024,D07CC02,2
019941020,N06BX,1
019954015,C02AB01,1
019954039,C02AB01,1
019969029,B03BA03,20
019971086,A01AB12,.03
019993017,N05BA01,10
019993031,N05BA01,10
019993043,N05BA01,10
019994033,N05BA01,10
019995012,N05BA01,10
019995024,N05BA01,10
019995036,N05BA01,10
019995048,N05BA01,10
020008052,G03DB01,10
020009015,J04AB03,.6
020009041,J04AB03,.6
020009054,J04AB03,.6
020009080,J04AB03,
020019016,N06AA09,75
020051037,D07AA02,2
020075065,N02BB54,
020075089,N02BB54,
020085027,S01CB04,.4
020096018,N02BA51,
020096020,N02BA51,
020118016,N06AA06,.15
020118028,N06AA06,.15
019634017,N05AB01,50
019634029,N05AB01,50
019644032,H02AB01,1.5
019646013,B01AB,.1
019646049,C05BA04,2.5
019646052,B01AB,.1
019655012,H02AB01,1.5
019655051,H02AB01,1.5
019655152,H02AB01,1.5
019655315,H02AB01,1.5
019711035,A03CA02,5
019751027,A10BD01,2
019771043,R05DA09,90
019803016,N06AA09,75
019803028,N06AA09,75
019818020,D07CB01,3
019822030,C03DA01,75
019875044,D03AX05,2
019875057,D03AX05,2
019875069,D03AX05,2
019875071,D03AX05,2
017712011,A14AB01,2
017712035,A14AB01,2
017758020,A10BA02,2
017758069,A10BA02,2
017758222,A10BA02,2
017758246,A10BA02,2
017837016,S01BA01,.6
017837028,S01BA01,.6
017849023,A11HA02,.16
017863010,S01GA52,.2
017863034,S01GA52,.2
017932017,H02AB04,20
017932029,H02AB04,20
017932043,H02BX01,1
017990019,A11JA,1
017990033,A11JA,1
018002016,S01FA06,.2
018002055,S01FA06,.2
018048013,A11EA,1
018060107,D07CC,3
018098020,C01EB07,7.5
018128025,C01DA02,
018128037,C01DA02,5
018128049,C01DA02,5
018128052,C01DA02,5
018129080,R05DB11,80
018130029,R05DA09,90
018155046,S01CA01,.4
018259022,H02AB04,20
018259034,H02AB04,20
018259059,H02AB04,20
018269011,C01DA08,60
018269035,C01DA08,60
018269050,C01DA08,20
018288050,R07AB08,.024
018331025,S01GA02,.2
018368035,R01AB06,1.5
018376032,B03AD,2
018486023,M02AA01,2.5
018505038,P01AB01,2
018505040,G01AF01,.5
018554067,R06AB02,6
018554079,R06AB02,6
018554081,D04AA,2
018610016,A16AA01,2
018610028,A16AA01,2
018610042,A16AA01,2
018610067,A16AA01,2
018610079,A16AA01,2
018610093,A16AA01,2
018622086,A11AA03,1
018622098,A11AA03,1
018622136,A11AA03,1
018622148,A11AA03,1
018622151,A11AA03,1
018647026,A13A,
018647040,A13A,
018723080,R01BA52,.24
018723092,R01BA52,.24
018725010,P02DA01,2
018805046,S01BA01,.6
018820011,A10BA02,2
020773026,G03GB02,9
020780021,H01AA02,.25
020780045,H01AA02,.25
020782037,L01CA02,2
020835031,N05BA04,50
020835043,N05BA04,50
020839039,J04AK02,1.2
020846010,L01XB01,.15
020851022,A03AX12,3
020851034,A03AX12,.06
020851046,A03AX12,6
020854028,C07AA05,.16
020854081,C07AA05,.16
020867026,D07CB01,2
020875086,R05DB19,.03
020875100,R05DB19,.03
020875124,R05DB19,.03
020875151,R05DB19,.03
020883094,D07CC04,2
020883118,D07CC04,2
020883144,D07AC15,2
020891014,J01GB03,.24
020891026,J01GB03,.24
020891040,J01GB03,.24
020891053,J01GB03,.24
020891065,D06AX07,1
020891077,D06AX07,1
020891089,J01GB03,.24
020910028,D07AC05,1
020910067,D07AC05,1
020917011,B02BX01,1
020917023,B02BX01,1
020918088,R05FB02,20
020925018,C01DA08,60
020925020,C01DA08,60
020925032,C01DA08,60
020925069,C01DA08,
020926010,V03AB,3
020942049,D11AE,3
020949020,A06AB08,5
020949071,A06AB08,5
020957039,L04AX01,.15
020967055,J07AM51,1
020118030,N06AA06,.15
020121036,J01CA01,2
020121048,J01CA01,2
020121087,J01CA01,2
020121137,J01CA01,2
020124020,R06AB03,4
020124121,D04AA13,2
020157018,S02DC,.6
020163022,D07AC04,2
020163085,D07CC02,2
020163186,D07AC04,2
020163325,R01AD,1
020163337,R01AD,.15
020163349,S02CA05,.8
020177010,A07AA06,3
020197012,N02BA51,
020197051,N02BA51,
020204095,N02BE51,4
020204107,N02AA59,
020204119,N02BE51,4
020213029,A11DB,1
020213118,A11DB,1
020225025,N03AG,
020294017,B05BC01,122.5
020294029,B05BC01,122.5
020305037,S01CA05,.45
020305049,S01CA05,.7
020305064,S01CA05,.25
020310025,B05AA06,500
020328151,L02AB02,1
020329013,L02AB02,1
020329064,L02AB02,1
020329076,L02AB02,1
020329088,L02AB02,1
020352011,L01BC02,.1
020352050,L01BC02,.1
020352062,L01BC02,.1
020352074,L01BC02,.1
020364028,D08AG02,10
020378105,M02AA05,2.5
020378131,M02AA05,2.5
020379032,A06AB57,10
020379044,A06AB57,2
020417022,V03AC01,2.25
020417034,V03AC01,2.25
020423048,D07AC01,2
020423087,D07AC01,2
020423137,D07AC01,2
020423265,D07AC01,2
020430029,L01CA01,1.5
020436198,A02X,24
020436200,A02X,24
020445021,N05BA01,10
020465011,C03CA01,40
020473029,N01AH01,1
020497032,A02AF02,8
020501021,B06AA11,.1
020513038,G01AX05,.6
020545036,A13A,
020561027,C05CA54,3
020578035,A06AG20,
020578047,A06AG20,
020580130,B05BA01,1
020580193,B05BA01,1
020580205,B05BA01,1
020580217,B05BA01,1
020580229,B05BA01,1
020580231,B05BA01,1
020582033,R05CB01,1.6
020582185,R05CB01,.5
020582209,R05CB01,.5
020582223,R05CB01,.5
020591032,D06BB01,.9
020601023,J01FF02,1.8
020601035,J01FF02,1.8
020601062,J01FF02,1.8
020602013,N03AF01,1
020602025,N03AF01,1
020602037,N03AF01,1
020602049,N03AF01,1
020605022,S01AA30,.6
020605034,S01AA30,.3
020609018,C08DA01,.24
020609044,C08DA01,.24
020609069,C08DA01,.24
020609071,C08DA01,.24
020609083,C08DA01,.24
020609095,C08DA01,.24
020613042,D07BB01,3
020613079,D07CB05,2
020613081,D07CB05,2
020613117,A01AC,.5
020617027,N02AA59,
020660054,J01BA02,1.5
020660066,J01BA02,1.5
020660080,J01BA02,1.5
020676019,M01AB01,.1
020676021,M01AB01,.1
020676033,M01AB01,.1
020689016,G01AF01,.5
020689028,P01AB01,2
020698015,S01FA56,.2
020699031,A11BA,3
020702015,A02AD01,10
020702054,A02AD01,10
020702080,A02AF02,12
020702155,A02AD01,10
020702167,A02AD01,10
020702193,A02AD01,10
020702205,A02AF02,12
020702229,A02AD01,10
020705012,A11DB,1
020705024,A11DB,1
020706014,N05BA01,10
020706026,N05BA01,10
020706038,N05BA01,10
020708069,A03AX13,.5
020711065,J01CF04,2
020731081,N05CD02,5
020739025,N05AC01,50
020739037,N05AC01,50
020762035,C05CX,.225
020766010,A03FA01,30
020766022,A03FA01,30
020766034,A03FA01,30
020766046,A03FA01,30
021326018,C02LA51,1.5
021332059,N02BE51,2
021335029,C05CA04,1.2
021335043,C05CA04,2.5
021342023,G02CB05,12
021360021,C03EB01,1
021394022,V03AE01,45
021397017,N05BA05,20
021397031,N05BA05,20
021397043,N05BA05,20
021409154,N01BB01,1
021409305,N01BB01,1
021409368,N01BB01,1
021410030,N02AD01,.2
021432024,N07XX,1
021455023,B03AB,.125
021458029,B02AA02,2
021460023,N06CA01,3.5
021460062,N06CA01,3.5
021460074,N06CA01,3.5
021462066,N06CA01,3
021553019,N05AH06,80
021553021,N05AH06,80
021553033,N05AH06,80
021575016,A10BB01,10
021576018,S01EB08,3
021600010,R05CB10,30
021600059,R05CB10,2
021600061,R05CB10,2
021600073,R05CB10,2
021625064,R05X,4
021625076,R05X,4
021633019,N02CX,1.5
021633021,N02CX,1.5
021633033,N02CX,1.5
021633045,N02CX,1.5
021635065,J01AA02,.1
021643010,N06AA04,.1
021643022,N06AA04,.1
021643034,N06AA04,.1
021643046,N06AA04,.1
021649037,J01AA05,.6
021688015,N07CA02,90
021688027,N07CA02,90
021688054,N07CA02,90
021690021,N03AG,3
021690045,N03AG,3
021736020,D07CC01,2
021736032,D07CC01,2
021773015,A11JA,1
021822010,D07AC04,2
021835018,S01CA10,.2
021852013,A16AA,2.5
021894035,C01BA03,.4
021902010,D07XC,2
021922024,B03AA07,.2
021925045,C05AA10,2
021938055,G03BB01,50
021939020,R02AB03,.5
021972017,N06CA01,3
021978046,J01EE01,
021978061,J01EE01,
021992021,L01AX02,10.5
021993050,R01AB08,1
021998024,H02BX,6
021462078,N06CA01,3
021473018,R05DA20,2
021481256,R05CB07,.4
021481282,R05CB07,.4
021483058,R05DB13,25
021483060,R05DB13,25
021483096,R05DB13,25
021483134,R05DB13,25
021502012,C02AC01,.45
021502024,C02AC01,.45
021502036,C02AC01,.45
021510019,L01XX05,1.75
021513015,D07AC01,2
021513027,D07AC01,2
021513054,D07AC01,2
021528106,A06A,
021528157,A06A,
021539046,N06BX,2.5
021539059,N06BX,1.5
021539061,N06BX,1
021547043,A05BA,.75
021004015,R05CB02,24
021004027,R05CB02,24
021004039,R05CB02,24
021004041,R05CB02,24
021004142,R05CB02,24
021004205,R05CB02,24
021015021,M01AG01,1
021033016,C03CC01,50
021033028,C03CC01,50
021035023,L01DB02,.06
021053018,G03DC02,5
021091018,V03AB04,2
021091020,V03AB04,2
021100021,N05CX,15
021102037,R05DA20,30
021110034,J04AB02,.6
021110097,J04AB02,.6
021110111,J04AB02,.6
021110135,J04AB02,.6
021111024,B05AA01,20
021111051,B05AA01,20
021111087,B05AA01,20
021111101,B05AA01,20
021112040,B05AA02,250
021115023,A11GA01,.2
021115035,A11GA01,.2
021122066,C05AA08,2
021122080,C05AA08,2
021137017,S01EB01,.4
021137029,S01EB01,.4
021146067,B03BA04,1
021146093,B03BA04,1
021153010,N06AA10,75
021153022,N06AA10,75
021168012,A03CB,3
021168048,A03CB,3
021168051,A03CB,3
021168063,A03CB,3
021179054,M02AA11,3
021179128,M02AA11,3
021196112,B03BA04,1
021206014,A03CA01,2
021213018,G04BC,40
021226016,G03CA03,2
021229036,A13A,
021232071,A09AA02,6
021247085,D04AB,
021250028,L01AA03,1
021251044,G02CC03,
021253024,B05BB03,18
021257023,J04AK02,1.2
021257047,J04AK02,1.2
021257062,J04AK02,1.2
021259015,M04AA01,.4
021259027,M04AA01,.4
021266022,D06AX01,2
021279031,G02CA,60
021279056,G02CA,60
021285010,S01CA05,.4
021289018,B03BA53,1
021299045,J01XD01,1.5
021300025,A05AX02,1.2
022629113,B01AB11,500
022632044,R02AA20,5
022632071,R02AA20,5
022632083,R02AA03,12
022632095,R02AA03,12
022632107,R02AA20,5
022632119,R02AA20,5
022633059,J01FF01,1.2
022635066,J06BB02,.5
022635078,J06BB02,.5
022643011,C01AA08,.2
022643023,C01AA08,.2
022643047,C01AA08,.2
022657023,B03AA07,.2
022662011,J01DB04,3
022662098,J01DB04,3
022662124,J01DB04,3
022671022,N01BB52,1
022671073,N01BB52,1
022674016,C07AA03,15
022697015,M03AC01,1
022702017,C03EA01,3
022705038,D07CB01,3
022711117,A06AD11,6.7
022711129,A06AD11,6.7
022714036,N05BA16,15
022715015,N05CD01,30
022715027,N05CD01,30
022717021,N05CD01,30
022717045,N05CD01,30
022729026,S01CB04,.3
022738013,L01DA01,.5
022739066,C05BX01,.75
022748038,B05BA10,1
022750020,N05AB02,1
022760019,D01AC01,3
022760108,D01AC01,3
022801017,R02AB02,8
022803035,A02BX02,4
022803047,A02BX02,4
022803074,A02BX02,4
022816021,D11AX,1
022816058,D11AX,10
022816060,D11AX,10
022002063,A02BX08,.6
022015022,A06AB08,5
022019018,B02AA02,2
022019020,B02AA02,2
022019032,B02AA02,2
022033029,C01BD01,.2
022033031,C01BD01,.2
022051015,M04AA01,.4
022085056,J01DB01,2
